"Symbol","SourceCount","Sources"
"ApplicationShell","1","D:\Projects\Anchor\restaurantos\frontend\app.js"
"attachStandardMetadata","0",""
"AuthEngine","1","D:\Projects\Anchor\businessos\platform\authentication\authEngine.js"
"CategoryRepository","0",""
"CommissioningEngine","1","D:\Projects\Anchor\businessos\platform\commissioning\commissioningEngine.js"
"convertRecipeUomToNormalized","2","D:\Projects\Anchor\businessos\platform\kitchen\productionModel.js; D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenRecipeView.js"
"formatRecordForTable","0",""
"getDeviceId","0",""
"getRecipeUomFamilyOptions","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenRecipeView.js"
"GoodsReceiptRepository","0",""
"InventoryRepository","0",""
"KitchenInventoryView","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenInventoryView.js"
"KitchenMenuModel","1","D:\Projects\Anchor\businessos\platform\kitchen\kitchenMenuModel.js"
"KitchenMenuView","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenMenuView.js"
"KitchenProductionView","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenProductionView.js"
"KitchenRecipeView","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\kitchen\ui\KitchenRecipeView.js"
"logAudit","0",""
"OfflineJournal","0",""
"OfflineStore","1","D:\Projects\Anchor\businessos\platform\offline_store\offlineStore.js"
"PinPadView","1","D:\Projects\Anchor\restaurantos\frontend\capabilities\identity\ui\PinPadView.js"
"ProductionModel","1","D:\Projects\Anchor\businessos\platform\kitchen\productionModel.js"
"PurchaseOrderRepository","0",""
"RecipeModel","1","D:\Projects\Anchor\businessos\platform\kitchen\recipeModel.js"
"StaffRepository","0",""
"startApp","0",""
"StockAdjustmentRepository","0",""
"StockCountRepository","0",""
"StockIssueRepository","0",""
"StockTransferRepository","0",""
"StorageLocationRepository","0",""
"SupabaseClient","0",""
"SupplierRepository","0",""
"SyncEngine","0",""
"TableRepository","0",""
"TenantModel","1","D:\Projects\Anchor\businessos\platform\tenant\tenantModel.js"
"TenantRepository","0",""
"UomConversionEngine","0",""
"UomRepository","0",""
